C,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,153,126,0,0,0,0,0,0,0,0,0,0,0,58,0,213,213,213,58,0,0,0,0,0,0,0,0,0,0,175,0,126,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,58,198,0,0,0,0,0,0,0,0,0,0,0,0,0,205,213,79,213,0,0,0,0,0,0,0,0,0,0,0,0,21,2,161,0,0,0,0,0,0,0,0,0,31,3,0,0,0,21,0,0,0,0,0,0,0,0,0,31,31,0,0,0,123,13,31,0,0,0,0,0,0,0,0,31,31,0,31,0,2,31,0,126,10,31,8,15,0,0,31,31,31,5,22,135,31,20,63,6,31,31,0,8,0,0,6,31,31,17,31,4,214,0,31,31,0,31,4,0,17,4,5,0,31,31,31,0,4,4,4,1,0,17,4,0,0,4,10,22,17,31,31,4,4,4,4,4,4,0,4,0,0,0,0,0,4,31,31
C,0,0,9,0,9,16,9,9,9,66,66,9,0,9,0,0,0,0,4,0,6,9,9,66,0,9,16,9,3,66,17,0,0,7,0,9,46,3,9,9,9,13,7,16,11,48,30,0,0,0,9,9,9,66,9,9,9,15,9,0,0,9,9,9,9,8,66,7,9,3,66,66,255,85,61,9,76,0,66,0,9,9,30,7,66,240,198,255,66,255,66,9,0,0,66,0,0,9,0,9,9,9,9,9,66,103,174,255,6,0,5,0,9,1,0,8,0,8,9,54,0,214,211,0,0,0,0,12,0,0,0,0,5,214,219,9,9,248,255,0,120,0,0,0,0,0,0,0,0,0,129,129,214,214,255,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,214,44,0,14,0,0,0,0,0,0,0,0,0,0,0,9,0,59,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,114,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,17,0,0,0,0,0,0,0,0,0,0,9,0,0,14,14,30
C,0,0,10,10,1,10,10,25,79,79,79,0,101,10,255,10,0,0,10,10,7,16,10,8,79,10,7,10,7,21,0,8,0,0,53,10,10,79,10,62,10,68,10,9,34,79,29,0,0,5,10,10,7,29,0,10,62,10,10,9,1,79,10,77,10,79,79,9,79,10,7,73,7,5,0,55,9,10,28,10,79,21,3,10,79,10,2,10,79,10,0,7,0,10,27,1,79,12,0,79,0,29,79,20,79,228,6,7,0,0,10,0,62,62,10,62,10,36,255,255,79,255,79,0,0,0,10,10,10,0,27,10,10,10,27,55,10,252,235,255,254,0,27,0,0,0,0,10,10,0,0,5,7,10,241,255,48,0,0,0,0,0,0,0,0,211,235,0,7,240,218,233,44,0,0,7,0,0,0,0,0,0,0,45,128,235,235,69,219,6,0,0,0,0,0,0,0,0,0,0,154,45,0,0,235,8,1,0,0,0,0,0,0,0,0,0,0,0,6,19,0,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,4
C,4,0,7,79,10,10,10,9,10,0,79,79,10,7,79,0,0,0,10,42,10,10,10,10,79,79,10,10,7,79,79,0,0,8,9,3,10,55,1,14,79,45,10,10,0,255,10,0,0,40,0,62,45,10,51,79,0,10,5,49,0,79,10,0,0,0,10,10,10,10,10,167,255,10,40,8,0,9,222,10,0,10,0,0,79,55,255,255,255,255,3,0,0,0,51,0,0,51,5,3,79,235,255,255,245,255,128,255,0,0,10,5,0,10,12,10,79,0,9,79,255,255,182,167,4,0,79,74,0,10,10,5,4,10,10,10,10,255,79,255,13,0,10,10,0,10,7,0,60,248,79,0,77,255,249,255,3,0,10,0,0,2,10,0,0,167,128,235,182,235,145,255,3,0,0,0,0,10,0,0,0,0,0,0,178,0,182,79,0,14,0,0,0,0,0,5,0,0,0,0,87,10,26,245,9,0,0,0,0,0,0,0,5,0,1,0,0,7,249,0,5,9,0,0,0,0,0,5,0,0,0,0,0,0,0,26,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0
C,0,7,10,0,0,79,10,10,16,10,79,10,10,10,79,10,0,7,0,10,10,10,10,10,10,10,79,10,10,79,0,10,0,0,0,10,10,8,10,5,79,10,10,10,0,79,43,4,8,0,10,0,10,18,10,10,10,10,79,101,10,112,10,2,10,0,10,67,59,79,66,112,255,10,79,10,10,10,10,10,0,49,10,79,10,79,255,255,233,79,246,10,0,2,9,0,9,30,10,10,10,255,255,235,235,255,255,255,22,0,79,0,0,58,31,0,0,10,10,10,10,235,255,237,0,0,0,0,54,53,10,10,10,79,235,10,0,255,159,255,0,0,61,7,0,10,4,7,10,0,191,128,255,247,255,0,0,0,7,0,0,0,10,0,10,0,7,242,255,79,255,6,79,0,0,9,0,0,0,0,0,49,0,0,233,207,255,7,0,0,0,8,0,0,0,0,0,0,0,0,1,0,79,19,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,229,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,0,0
C,7,0,10,10,64,79,27,79,10,10,79,10,123,10,63,0,10,5,0,40,10,68,10,10,10,10,10,10,10,79,10,2,0,0,1,9,79,79,10,10,79,10,10,10,10,10,3,7,0,10,10,10,10,79,70,79,79,10,62,0,0,27,79,10,10,78,10,10,10,10,10,10,79,27,9,9,10,10,79,0,0,0,44,79,67,72,175,229,244,105,171,10,10,4,79,10,10,10,79,79,35,235,235,255,235,79,255,79,0,0,79,0,0,79,10,10,10,79,79,10,79,255,19,255,218,0,18,0,0,0,42,10,0,57,64,10,4,0,79,128,47,0,10,24,7,7,9,10,10,227,128,254,10,251,255,155,4,0,4,6,10,10,0,0,0,0,8,107,255,255,128,157,0,10,2,0,0,0,0,0,0,0,0,0,0,251,0,235,0,9,0,6,0,0,0,0,0,0,5,0,0,4,0,235,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,31,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,6,15
C,0,0,10,7,28,20,10,79,9,10,10,10,17,0,53,10,0,4,0,0,79,10,28,10,10,42,44,20,9,10,9,0,0,0,79,1,0,10,10,10,10,10,79,8,2,255,79,10,0,0,72,10,29,10,79,22,10,10,1,10,10,79,10,10,10,10,0,38,10,10,38,10,183,10,10,34,0,38,10,0,0,0,10,60,25,10,255,215,119,79,156,10,0,7,38,0,10,0,79,79,79,254,255,79,217,79,79,79,18,10,10,0,7,79,79,3,10,52,129,10,0,79,26,63,255,0,32,1,7,0,0,0,8,27,10,70,10,10,136,241,255,0,10,10,0,10,0,10,10,235,235,235,10,235,235,235,0,0,8,79,0,0,7,0,0,10,79,128,235,235,209,240,6,0,0,0,0,0,2,0,0,9,0,3,0,255,0,255,3,0,0,5,0,0,0,0,0,0,0,0,0,180,80,168,19,9,0,0,0,0,0,0,0,0,0,0,0,0,2,252,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,0
C,0,0,10,10,10,10,79,79,9,10,56,10,101,10,235,10,0,0,22,10,10,10,10,10,10,10,10,13,10,79,10,10,0,10,10,79,10,79,10,10,10,10,10,10,7,10,0,7,10,75,0,10,79,73,10,79,10,79,79,79,0,10,10,10,9,1,1,11,63,1,10,10,71,9,10,10,10,73,10,10,0,10,10,79,10,10,255,255,247,79,0,0,0,10,79,10,10,53,10,10,63,235,168,255,255,189,255,56,0,10,79,5,9,79,10,70,1,79,10,10,10,235,0,255,23,0,10,7,71,10,10,10,10,10,79,10,10,137,255,0,221,3,79,79,4,0,6,4,79,235,128,10,63,255,255,0,0,0,79,10,0,10,0,18,10,0,128,128,235,255,235,28,4,0,6,33,0,0,1,1,7,0,0,128,235,128,0,235,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,19,0,0,0,0,0,0,0,0,0,3,0,0,32,14,3,8,0,0,0,0,0,7,0,0,0,0,0,0,0,19,6,9,10
C,0,0,0,0,10,10,10,5,10,10,10,53,8,10,79,10,0,0,0,79,10,16,10,25,7,10,79,10,0,194,8,10,0,0,7,0,10,77,10,79,10,79,12,10,79,16,27,0,0,0,7,10,16,10,0,10,16,79,9,79,0,79,79,0,10,71,79,10,79,10,10,10,9,29,10,16,0,10,10,0,2,0,0,10,10,10,79,255,238,79,10,0,175,0,79,0,10,1,10,10,16,251,235,254,79,232,255,255,8,0,10,0,7,6,0,79,79,79,9,9,59,235,12,255,7,9,68,42,10,0,36,53,0,21,10,10,10,255,255,40,42,0,3,0,2,0,0,10,7,235,237,8,10,139,245,240,0,0,7,0,0,10,0,0,62,59,128,236,128,128,128,0,0,0,0,0,0,0,10,0,0,7,0,0,235,128,147,0,6,0,0,0,0,0,0,0,0,0,0,0,61,5,0,48,8,8,0,0,0,0,0,0,0,0,0,5,0,7,0,7,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,7
C,0,0,0,6,10,79,23,10,10,45,10,9,9,7,255,0,0,0,9,75,7,66,66,45,10,10,10,40,0,145,66,0,0,0,0,1,10,10,79,10,10,49,10,9,0,239,79,0,0,10,10,10,79,53,10,10,10,32,10,134,1,79,10,5,0,10,10,70,10,79,45,10,10,10,10,167,4,10,79,0,6,0,45,10,79,10,255,244,245,255,10,1,1,0,79,0,0,0,45,1,0,255,235,255,128,241,255,214,5,0,10,7,0,0,10,79,10,10,10,7,244,235,0,244,0,0,51,79,0,10,0,10,40,79,10,4,10,255,255,0,21,0,10,7,10,10,10,10,10,235,66,7,10,79,112,159,9,0,0,10,10,8,5,0,0,128,235,235,244,202,245,76,6,0,0,0,0,0,0,0,0,2,10,26,128,235,168,235,5,2,0,0,0,0,4,0,3,0,2,0,115,8,0,79,6,3,0,0,0,0,0,0,0,0,0,0,0,32,0,19,12,6,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,4,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,6,0
